DA4l,DC1,DL4,DL5,DM3,DM4,DP1m,VA2,VA4,VA6,VA7l,VC1,VC2,VL2a,VL2p,VM4,D,DA1,DA2,DA4m,DC2,DC3,DL1,DL2d,DL3,DM2,DM5,DM6,DP1l,VA1d,VA1v,VA3,VA5,VA7m,VL1,VM1,VM2,VM3,VM7d,VM7v,VM5d,DM1,V,DA3,DC4,DL2v,VC4,VC5,VM5v,Glomerulus 1,Glomerulus 2,Glomerulus 3
21771.30280582803,151364.60249502675,35542.61590650814,120540.22483751948,61835.90926446577,134840.74877086928,279236.9400047888,119195.60663188112,111561.08739676878,118050.5312964725,96437.90709183292,87748.18185910846,90187.1929566244,62589.825868073465,161879.02459611584,82442.09374313112,155060.76641238644,74503.34639083435,40513.18521501575,61641.34993398556,110439.3016741228,170275.15958099157,39845.26123911541,169756.59416057373,70686.2138268087,136226.03167331798,72342.56552244403,103608.21668296434,215167.82079800125,103684.63810856326,162793.1697385892,170091.6674087239,241481.36588816755,113948.63802538149,127371.05571850228,92398.41186394892,66761.75092207156,121257.0048316222,111007.181342572,53096.69462964965,54206.10011838487,127329.82730815792,187315.45368426657,55074.059926949696,152927.57757359685,200396.0432116787,104990.47259883527,126761.90085196488,87384.86778451654,561.1480625,154.39265625,169.809
62910.17272523315,125537.45738934477,38600.90579253472,94752.11603191915,56765.36440631053,176681.0945981001,362490.1067352684,118111.68584303648,97102.58688358264,128694.98255506338,80483.27038732561,89261.45849029528,90118.74644410476,50242.56027976297,174966.46169746105,99409.52147456228,149021.59821532652,96577.9129099988,105318.33976172356,60429.26440170448,123855.00989580604,128303.0855382136,90217.1060116968,154073.5395346317,66518.17052582673,115073.9474067348,74907.25551923687,126301.5754840767,199056.4265413068,114572.84357096472,57563.23436183709,186759.5510773676,50445.36070375427,106238.2520743467,120610.61820672796,96069.2710226822,77250.13726632451,145537.2599220619,106665.51524729742,53902.77408738804,53329.24042627824,133254.09720007377,195576.14446068247,59027.74411933756,125158.49955545084,206093.2304121465,82986.43212247304,118591.15429263712,123976.10676372147,409.99909375,138.23359375,127.275140625
65954.01626620926,137179.9802437605,63602.183651947846,109174.3834910065,82767.53056426908,148757.00394510647,325397.2563381875,125489.9505577966,118965.07023538108,133314.7955366418,73114.58398557246,95720.54240410894,83425.65442721371,86489.11634580407,125446.37173034888,77602.23168083926,219701.1699793868,93032.95661277109,85964.43257670925,37844.64982671646,98113.1253963622,161275.66986920714,58617.27017714868,170861.8642478596,44779.844813288895,150241.10508336558,64950.58476918036,97003.58156536952,219220.05923171,120374.2441742094,161974.91233031935,162453.94081461203,206839.20353918817,108587.90630261724,131368.97257617954,74027.17264358143,51790.954463762566,142589.83053806727,123736.2324494356,48966.00312675042,208307.6599586507,169449.61806133945,200026.39579184703,42738.42396352698,127540.83881756024,261868.28079318692,90991.9405570386,143365.4678325408,128618.67910259854,568.0010625,134.24815625,149.033140625
89614.79127130768,120109.4253224809,56007.29491051782,95519.83445202831,76407.98146707244,138861.90899611215,381500.9029602214,78697.31780972423,102035.58341350444,151703.1733198426,99708.45132037815,95786.42216534648,83252.05132334126,70232.04542141667,173333.3651924441,52273.83623091388,197717.7020376739,134702.03351512805,108917.74792560605,68751.82867835472,140045.73615033895,158931.0404568668,65056.15648944974,204827.60030325103,56336.0171968315,140724.2724963905,72116.6505399197,91074.28509430938,209416.0312547493,11645.22852344096,125137.23696140294,74823.67271431764,116451.51185679024,104148.04179417375,134463.73408661975,88709.52760440345,112963.11801657648,115120.51472493623,127425.76221425792,67572.92038479273,94164.15127734384,146895.45577527204,172188.1738159582,68349.21621625693,134291.68133180376,164691.73029005702,102116.78580756523,142900.58266855488,129585.29156646684,435.2638125,130.2358671875,178.823328125
42118.46897696615,149555.81744571828,96679.91999088776,116105.35690931356,58323.08933493949,159400.71104490926,372500.73667669855,93368.18220892808,112223.24744995666,130834.43562317948,72564.23325257558,112568.90664192864,97479.87669077465,47446.43156671322,179428.3916778034,85490.99337037107,173524.30458996497,121249.76718247708,74029.57248534542,172.6554163781537,167446.27664388873,160846.35354447167,110793.40046415996,135373.37929117103,54564.668243583714,102355.0190636891,98147.27444841233,103825.64592845288,174133.77187946235,17111.411174905923,143719.74422752927,169478.65511781082,151794.52618943562,63377.03433102182,108475.8865321865,83431.60692549477,86049.63947844555,138316.40463541733,74353.3637873083,54681.81524644709,101733.24388841807,175995.0247430419,168789.43304295966,67280.44467374883,114669.63030387796,169261.06450475784,98449.52432341264,137865.58308129973,110456.99983265156,509.91334375,144.956109375,134.573296875
51769.88107148811,118538.73379781027,59372.82422019217,85080.98640926671,69182.29049474692,141953.7460636758,344911.0094319426,122401.7466788444,99134.02402047363,125426.59203951158,72779.44632892201,109941.8965843905,88323.95806212875,87284.33603323277,174115.08555729978,74952.13373314854,145276.20421759225,145982.97471176245,79223.00704956034,64019.29566357296,130749.92120204723,189057.7775953708,67382.06317533848,170942.59487837652,48824.520874625465,150923.342519684,90557.41216361018,126924.13717153484,254114.4190393124,123210.35012318131,118377.78411752055,104614.83487270292,,125821.28436762848,110716.48974994464,70358.51052984118,103891.85690506682,100650.41034502114,117142.53773014872,53704.182946721936,62809.13958497514,137622.52347808584,207405.4783025352,42290.48838529007,159053.96695343422,165709.41044227185,84501.81646425082,123645.85956661688,127578.340232043,446.5765,139.579515625,139.2990625
39195.78574684051,127653.80525807229,42158.427826970365,130565.82717608695,58143.647258574085,165193.94298181264,328850.713388218,110858.94763358885,87293.152941781,142262.28346049672,95413.86121427118,100874.33035159518,74565.5336883198,89454.54377584436,164669.3006931676,62977.68657199453,166988.58110546798,108742.4738778884,163530.23883653025,70343.62622872414,112086.23389265889,189175.60553192132,86847.22311840583,,46848.57708378772,161756.97634190513,76812.51240113785,114872.82779607728,256969.251369618,117480.50980678036,104694.2729526424,176486.21382015,,116900.9317892539,135842.3003965664,86779.23400146491,83597.4727448828,100198.53221877468,109870.85729139032,65075.48284586293,94566.90548053068,171829.13178929698,201425.1927680694,46782.53602955651,157951.71135273413,197338.7231748404,91113.4601624546,151096.1486887843,88331.23351587422,396.7048125,101.41675,103.341015625
33868.190189362824,149076.42293263797,49367.74565238072,168726.70155264664,60714.15370618695,164891.25646175118,328803.3632831284,149450.42189411397,77167.07091261563,155996.94807422202,87272.4394189763,85401.42310732728,38944.890533616446,109555.4582067352,160103.5740245863,68467.33643848839,157605.1549300025,91658.220965346,78576.73484629646,81163.30451604098,151197.36144736104,157441.52559761834,98786.06486603717,,44967.749507375614,138944.5937030334,55627.16232407591,90307.8234908605,234570.7098735531,130238.07923619704,106770.28775399024,169023.152726565,,106286.41283776704,145162.80369930016,104828.5972495016,78831.41128267237,147516.6430265022,89647.44548187566,73524.37317404283,72642.21885183078,105034.83513933516,192140.5472032785,69418.05399000857,132333.4237551181,178198.48388881938,104122.10761098836,137350.05488864012,81529.2485953406,520.8025625,153.6688125,134.3510625
56048.63997718211,76910.99772203302,53657.31055777511,98835.93548612692,80138.05007928755,133663.9309362257,382707.93575148296,123049.68271251454,99386.7656048733,129370.26688570624,,110760.4209120612,70547.49028689088,62011.75623224254,231731.38651406445,60462.20351368874,206775.8230111428,97728.127542989,98826.78428993963,52497.90158371147,,161242.07574171678,72674.08893967111,,43809.43492409873,128543.36698518254,69321.24455333353,94472.6058295195,211801.89899745377,110889.75926009542,101973.590134937,151428.2188225417,,0.0,130632.74032714836,84882.8520417496,80774.5811847196,141556.46399100582,121039.23250124906,71676.41258318815,83843.53870741522,185418.38639739188,205043.26535109605,47528.23933220493,165910.72161470115,,96982.7057804949,85872.86487175233,87824.97253371746,281.6290625,158.5844375,147.635
50114.79966112489,168770.02993693092,49632.28250097901,102722.11056450044,80495.86750632721,154335.12942478296,346963.7384155176,129271.01839379835,117414.586847813,110454.72820619369,,99189.25678870668,78602.88666945948,75765.89389950568,177158.45972864426,66110.2281409206,142726.95474521362,119892.33655649808,121921.07938125072,14437.105165422234,,163914.60794627626,101834.47749942052,,62999.64861371061,132576.32387815963,54470.858035204416,78606.80459407295,216883.72722321085,136818.28126748046,36851.64467657627,191677.10689476365,,64901.52009530779,149915.77760474096,83105.8238935612,70852.23463880431,202670.0981045933,114635.7141040964,86570.27120178794,81999.65060601162,206821.48246746068,164587.58862417997,26233.93585480182,128766.76186229492,,,144131.85757177888,,590.3195625,82.8897109375,116.860578125
